Type,Root Function Name,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Callee","[ExplorerFrame.dll]","[msftedit.dll]",2,0,0.00,0.00,
"Callee","[ExplorerFrame.dll]","[msvcrt.dll]",3,3,0.01,0.01,
"Callee","[ExplorerFrame.dll]","[ntdll.dll]",173,41,0.41,0.10,
"Callee","[ExplorerFrame.dll]","[ntdll.dll]",11,11,0.03,0.03,
"Callee","[ExplorerFrame.dll]","[ole32.dll]",74,27,0.18,0.06,
"Callee","[ExplorerFrame.dll]","[propsys.dll]",45,35,0.11,0.08,
"Callee","[ExplorerFrame.dll]","[SHCore.dll]",657,13,1.57,0.03,
"Callee","[ExplorerFrame.dll]","[shell32.dll]",780,651,1.87,1.56,
"Callee","[ExplorerFrame.dll]","[shlwapi.dll]",357,3,0.85,0.01,
"Callee","[ExplorerFrame.dll]","[tiptsf.dll]",1,0,0.00,0.00,
"Callee","[ExplorerFrame.dll]","[ucrtbase.dll]",2,2,0.00,0.00,
"Callee","[ExplorerFrame.dll]","[user32.dll]","1,582",693,3.78,1.66,
"Callee","[ExplorerFrame.dll]","[uxtheme.dll]",532,97,1.27,0.23,
"Callee","[ExplorerFrame.dll]","[win32u.dll]",354,354,0.85,0.85,
"Callee","[ExplorerFrame.dll]","[windows.storage.dll]","4,112","2,441",9.84,5.84,
"Callee","[ExplorerFrame.dll]","[wow64cpu.dll]",1,1,0.00,0.00,
"Root","[gdi32.dll]","[gdi32.dll]",85,85,0.20,0.20,
"Caller","[gdi32.dll]","[comdlg32.dll]",3,3,0.01,0.01,
"Caller","[gdi32.dll]","[dui70.dll]",11,11,0.03,0.03,
"Caller","[gdi32.dll]","[duser.dll]",8,8,0.02,0.02,
"Caller","[gdi32.dll]","[ExplorerFrame.dll]",54,54,0.13,0.13,
"Caller","[gdi32.dll]","[msftedit.dll]",1,1,0.00,0.00,
"Caller","[gdi32.dll]","[thumbcache.dll]",8,8,0.02,0.02,
"Root","[gdi32full.dll]","[gdi32full.dll]",20,20,0.05,0.05,
"Caller","[gdi32full.dll]","[comdlg32.dll]",1,1,0.00,0.00,
"Caller","[gdi32full.dll]","[dui70.dll]",1,1,0.00,0.00,
"Caller","[gdi32full.dll]","[duser.dll]",3,3,0.01,0.01,
"Caller","[gdi32full.dll]","[msftedit.dll]",3,3,0.01,0.01,
"Caller","[gdi32full.dll]","[thumbcache.dll]",12,12,0.03,0.03,
"Root","[IPHLPAPI.DLL]","[IPHLPAPI.DLL]",244,125,0.58,0.30,
"Caller","[IPHLPAPI.DLL]","[dhcpcsvc6.dll]",1,1,0.00,0.00,
"Caller","[IPHLPAPI.DLL]","[PlayToDevice.dll]",34,21,0.08,0.05,
"Caller","[IPHLPAPI.DLL]","[winspool.drv]",210,103,0.50,0.25,
"Callee","[IPHLPAPI.DLL]","[dhcpcsvc.dll]",101,1,0.24,0.00,
"Callee","[IPHLPAPI.DLL]","[dhcpcsvc6.dll]",19,0,0.05,0.00,
"Root","[kernel32.dll]","[kernel32.dll]",39,39,0.09,0.09,
"Caller","[kernel32.dll]","[dfshim.dll]",1,1,0.00,0.00,
"Caller","[kernel32.dll]","[DropboxExt.26.0.dll]",6,6,0.01,0.01,
"Caller","[kernel32.dll]","[dui70.dll]",12,12,0.03,0.03,
"Caller","[kernel32.dll]","[duser.dll]",1,1,0.00,0.00,
"Caller","[kernel32.dll]","[ExplorerFrame.dll]",15,15,0.04,0.04,
"Caller","[kernel32.dll]","[netprofm.dll]",1,1,0.00,0.00,
"Caller","[kernel32.dll]","[safemon.dll]",2,2,0.00,0.00,
"Caller","[kernel32.dll]","[setupapi.dll]",1,1,0.00,0.00,
"Root","[KernelBase.dll]","[KernelBase.dll]","3,059","3,048",7.32,7.29,
"Caller","[KernelBase.dll]","[clbcatq.dll]","1,691","1,691",4.04,4.04,
"Caller","[KernelBase.dll]","[comdlg32.dll]",24,24,0.06,0.06,
"Caller","[KernelBase.dll]","[davclnt.dll]",1,1,0.00,0.00,
"Caller","[KernelBase.dll]","[dfshim.dll]",228,228,0.55,0.55,
"Caller","[KernelBase.dll]","[dhcpcsvc.dll]",69,69,0.17,0.17,
"Caller","[KernelBase.dll]","[dhcpcsvc6.dll]",1,1,0.00,0.00,
"Caller","[KernelBase.dll]","[dlnashext.dll]",1,1,0.00,0.00,
"Caller","[KernelBase.dll]","[DropboxExt.26.0.dll]",106,106,0.25,0.25,
"Caller","[KernelBase.dll]","[drprov.dll]",1,1,0.00,0.00,
"Caller","[KernelBase.dll]","[dui70.dll]",23,23,0.06,0.06,
"Caller","[KernelBase.dll]","[duser.dll]",6,6,0.01,0.01,
"Caller","[KernelBase.dll]","[ExplorerFrame.dll]",68,61,0.16,0.15,
"Caller","[KernelBase.dll]","[MMDevAPI.dll]",60,60,0.14,0.14,
"Caller","[KernelBase.dll]","[mpr.dll]",18,16,0.04,0.04,
"Caller","[KernelBase.dll]","[msftedit.dll]",3,3,0.01,0.01,
"Caller","[KernelBase.dll]","[msftedit.dll]",1,1,0.00,0.00,
"Caller","[KernelBase.dll]","[msi.dll]",126,126,0.30,0.30,
"Caller","[KernelBase.dll]","[netprofm.dll]",16,16,0.04,0.04,
"Caller","[KernelBase.dll]","[ntshrui.dll]",4,0,0.01,0.00,
"Caller","[KernelBase.dll]","[oleacc.dll]",6,6,0.01,0.01,
"Caller","[KernelBase.dll]","[PhotoMetadataHandler.dll]",1,1,0.00,0.00,
"Caller","[KernelBase.dll]","[PlayToDevice.dll]",7,7,0.02,0.02,
"Caller","[KernelBase.dll]","[policymanager.dll]",84,84,0.20,0.20,
"Caller","[KernelBase.dll]","[provsvc.dll]",1,1,0.00,0.00,
"Caller","[KernelBase.dll]","[safemon.dll]",45,45,0.11,0.11,
"Caller","[KernelBase.dll]","[setupapi.dll]",1,1,0.00,0.00,
"Caller","[KernelBase.dll]","[StructuredQuery.dll]",1,0,0.00,0.00,
"Caller","[KernelBase.dll]","[thumbcache.dll]",390,390,0.93,0.93,
"Caller","[KernelBase.dll]","[tiptsf.dll]",3,3,0.01,0.01,
"Caller","[KernelBase.dll]","[twinapi.appcore.dll]",7,7,0.02,0.02,
"Caller","[KernelBase.dll]","[winspool.drv]",61,61,0.15,0.15,
"Caller","[KernelBase.dll]","[WMVCORE.DLL]",1,1,0.00,0.00,
"Caller","[KernelBase.dll]","[WMVCORE.DLL]",2,2,0.00,0.00,
"Caller","[KernelBase.dll]","[wpdshext.dll]",4,4,0.01,0.01,
"Caller","[KernelBase.dll]","[xmllite.dll]",1,1,0.00,0.00,
"Callee","[KernelBase.dll]","[davclnt.dll]",1,0,0.00,0.00,
"Callee","[KernelBase.dll]","[drprov.dll]",1,0,0.00,0.00,
"Callee","[KernelBase.dll]","[ExplorerFrame.dll]",1,1,0.00,0.00,
"Callee","[KernelBase.dll]","[msftedit.dll]",4,1,0.01,0.00,
"Callee","[KernelBase.dll]","[msftedit.dll]",2,0,0.00,0.00,
"Callee","[KernelBase.dll]","[ntshrui.dll]",4,0,0.01,0.00,
"Callee","[KernelBase.dll]","[StructuredQuery.dll]",1,1,0.00,0.00,
"Root","[mdnsNSP.dll]","[mdnsNSP.dll]",2,0,0.00,0.00,
"Caller","[mdnsNSP.dll]","[mdnsNSP.dll]",2,0,0.00,0.00,
"Callee","[mdnsNSP.dll]","[mdnsNSP.dll]",2,0,0.00,0.00,
"Callee","[mdnsNSP.dll]","[ntdll.dll]",2,2,0.00,0.00,
"Root","[MMDevAPI.dll]","[MMDevAPI.dll]",77,1,0.18,0.00,
"Caller","[MMDevAPI.dll]","[combase.dll]",1,0,0.00,0.00,
"Caller","[MMDevAPI.dll]","[MMDevAPI.dll]",77,1,0.18,0.00,
"Caller","[MMDevAPI.dll]","[PlayToDevice.dll]",76,0,0.18,0.00,
"Callee","[MMDevAPI.dll]","[combase.dll]",1,1,0.00,0.00,
"Callee","[MMDevAPI.dll]","[KernelBase.dll]",60,60,0.14,0.14,
"Callee","[MMDevAPI.dll]","[MMDevAPI.dll]",77,1,0.18,0.00,
"Callee","[MMDevAPI.dll]","[ntdll.dll]",14,14,0.03,0.03,
"Callee","[MMDevAPI.dll]","[ucrtbase.dll]",1,1,0.00,0.00,
"Root","[mpr.dll]","[mpr.dll]",28,1,0.07,0.00,
"Caller","[mpr.dll]","[mpr.dll]",12,0,0.03,0.00,
"Caller","[mpr.dll]","[ntdll.dll]",1,1,0.00,0.00,
"Caller","[mpr.dll]","[windows.storage.dll]",28,0,0.07,0.00,
"Callee","[mpr.dll]","[KernelBase.dll]",18,16,0.04,0.04,
"Callee","[mpr.dll]","[mpr.dll]",12,0,0.03,0.00,
"Callee","[mpr.dll]","[ntdll.dll]",1,0,0.00,0.00,
"Callee","[mpr.dll]","[ntlanman.dll]",9,0,0.02,0.00,
"Root","[mscoree.dll]","[mscoree.dll]",9,9,0.02,0.02,
"Caller","[mscoree.dll]","[dfshim.dll]",9,9,0.02,0.02,
"Root","[mscorlib.ni.dll]","[mscorlib.ni.dll]",501,501,1.20,1.20,
"Caller","[mscorlib.ni.dll]","FoodMazaPos.About..ctor",3,3,0.01,0.01,
"Caller","[mscorlib.ni.dll]","FoodMazaPos.Cashier..ctor",9,9,0.02,0.02,
"Caller","[mscorlib.ni.dll]","FoodMazaPos.Cashier.button1_Click",1,1,0.00,0.00,
"Caller","[mscorlib.ni.dll]","FoodMazaPos.Cashier.label3Click",1,1,0.00,0.00,
"Caller","[mscorlib.ni.dll]","FoodMazaPos.Cashier.Loadproducts",1,1,0.00,0.00,
"Caller","[mscorlib.ni.dll]","FoodMazaPos.ExportToExcel..ctor",30,30,0.07,0.07,
"Caller","[mscorlib.ni.dll]","FoodMazaPos.Inventory..ctor",186,186,0.44,0.44,
"Caller","[mscorlib.ni.dll]","FoodMazaPos.Inventory.EstimatingSTockAtTheStartOfDay",8,8,0.02,0.02,
"Caller","[mscorlib.ni.dll]","FoodMazaPos.Inventory.InitializeComponent",3,3,0.01,0.01,
"Caller","[mscorlib.ni.dll]","FoodMazaPos.Inventory.InventoryHeaderInfo",4,4,0.01,0.01,
"Caller","[mscorlib.ni.dll]","FoodMazaPos.Inventory.LoadChart2",1,1,0.00,0.00,
"Caller","[mscorlib.ni.dll]","FoodMazaPos.InvoiceDetails..ctor",3,3,0.01,0.01,
"Caller","[mscorlib.ni.dll]","FoodMazaPos.Login..ctor",49,49,0.12,0.12,
"Caller","[mscorlib.ni.dll]","FoodMazaPos.SalesSummary..ctor",5,5,0.01,0.01,
"Caller","[mscorlib.ni.dll]","FoodMazaPos.Stocks..ctor",117,117,0.28,0.28,
"Caller","[mscorlib.ni.dll]","FoodMazaPos.Stocks.btnUpdate_Click",1,1,0.00,0.00,
"Caller","[mscorlib.ni.dll]","FoodMazaPos.updatestocks..ctor",79,79,0.19,0.19,
"Root","[msctf.dll]","[msctf.dll]",21,21,0.05,0.05,
"Caller","[msctf.dll]","[msftedit.dll]",21,21,0.05,0.05,
"Root","[msftedit.dll]","[msftedit.dll]",168,5,0.40,0.01,
"Caller","[msftedit.dll]","[ExplorerFrame.dll]",163,0,0.39,0.00,
"Caller","[msftedit.dll]","[KernelBase.dll]",4,1,0.01,0.00,
"Caller","[msftedit.dll]","[msftedit.dll]",164,4,0.39,0.01,
"Callee","[msftedit.dll]","[combase.dll]",120,44,0.29,0.11,
"Callee","[msftedit.dll]","[gdi32full.dll]",3,3,0.01,0.01,
"Callee","[msftedit.dll]","[KernelBase.dll]",3,3,0.01,0.01,
"Callee","[msftedit.dll]","[msctf.dll]",21,21,0.05,0.05,
"Callee","[msftedit.dll]","[msftedit.dll]",164,4,0.39,0.01,
"Callee","[msftedit.dll]","[msftedit.dll]",3,0,0.01,0.00,
"Callee","[msftedit.dll]","[msftedit.dll]",3,1,0.01,0.00,
"Callee","[msftedit.dll]","[ntdll.dll]",2,2,0.00,0.00,
"Callee","[msftedit.dll]","[ucrtbase.dll]",1,1,0.00,0.00,
"Callee","[msftedit.dll]","[user32.dll]",5,5,0.01,0.01,
"Callee","[msftedit.dll]","[Windows.Globalization.dll]",2,0,0.00,0.00,
"Root","[msftedit.dll]","[msftedit.dll]",1,0,0.00,0.00,
"Caller","[msftedit.dll]","[msftedit.dll]",1,0,0.00,0.00,
"Caller","[msftedit.dll]","[msftedit.dll]",1,0,0.00,0.00,
"Callee","[msftedit.dll]","[msftedit.dll]",1,0,0.00,0.00,
"Callee","[msftedit.dll]","[win32u.dll]",1,1,0.00,0.00,
"Root","[msftedit.dll]","[msftedit.dll]",6,3,0.01,0.01,
"Caller","[msftedit.dll]","[ExplorerFrame.dll]",2,0,0.00,0.00,
"Caller","[msftedit.dll]","[msftedit.dll]",4,2,0.01,0.00,
"Caller","[msftedit.dll]","[msftedit.dll]",1,0,0.00,0.00,
"Caller","[msftedit.dll]","[msftedit.dll]",3,1,0.01,0.00,
"Callee","[msftedit.dll]","[ExplorerFrame.dll]",2,0,0.00,0.00,
"Callee","[msftedit.dll]","[msftedit.dll]",4,2,0.01,0.00,
"Callee","[msftedit.dll]","[msftedit.dll]",1,0,0.00,0.00,
"Root","[msftedit.dll]","[msftedit.dll]",7,3,0.02,0.01,
"Caller","[msftedit.dll]","[ExplorerFrame.dll]",2,0,0.00,0.00,
"Caller","[msftedit.dll]","[KernelBase.dll]",2,0,0.00,0.00,
"Caller","[msftedit.dll]","[msftedit.dll]",7,2,0.02,0.00,
"Caller","[msftedit.dll]","[msftedit.dll]",3,0,0.01,0.00,
"Caller","[msftedit.dll]","[ucrtbase.dll]",1,1,0.00,0.00,
"Callee","[msftedit.dll]","[gdi32.dll]",1,1,0.00,0.00,
"Callee","[msftedit.dll]","[KernelBase.dll]",1,1,0.00,0.00,
"Callee","[msftedit.dll]","[msftedit.dll]",7,2,0.02,0.00,
"Callee","[msftedit.dll]","[msftedit.dll]",1,0,0.00,0.00,
"Callee","[msftedit.dll]","[ucrtbase.dll]",2,1,0.00,0.00,
"Root","[msi.dll]","[msi.dll]",137,6,0.33,0.01,
"Caller","[msi.dll]","[msi.dll]",136,5,0.33,0.01,
"Caller","[msi.dll]","[windows.storage.dll]",137,1,0.33,0.00,
"Callee","[msi.dll]","[advapi32.dll]",2,2,0.00,0.00,
"Callee","[msi.dll]","[KernelBase.dll]",126,126,0.30,0.30,
"Callee","[msi.dll]","[msi.dll]",136,5,0.33,0.01,
"Callee","[msi.dll]","[ntdll.dll]",3,3,0.01,0.01,
"Root","[msvcp110_win.dll]","[msvcp110_win.dll]",1,1,0.00,0.00,
"Caller","[msvcp110_win.dll]","[msvcp110_win.dll]",1,1,0.00,0.00,
"Caller","[msvcp110_win.dll]","[windows.storage.dll]",1,0,0.00,0.00,
"Callee","[msvcp110_win.dll]","[msvcp110_win.dll]",1,1,0.00,0.00,
"Root","[msvcrt.dll]","[msvcrt.dll]",137,137,0.33,0.33,
"Caller","[msvcrt.dll]","[clbcatq.dll]",62,62,0.15,0.15,
"Caller","[msvcrt.dll]","[comdlg32.dll]",1,1,0.00,0.00,
"Caller","[msvcrt.dll]","[DevDispItemProvider.dll]",1,1,0.00,0.00,
"Caller","[msvcrt.dll]","[dui70.dll]",56,56,0.13,0.13,
"Caller","[msvcrt.dll]","[duser.dll]",3,3,0.01,0.01,
"Caller","[msvcrt.dll]","[ExplorerFrame.dll]",3,3,0.01,0.01,
"Caller","[msvcrt.dll]","[netprofm.dll]",1,1,0.00,0.00,
"Caller","[msvcrt.dll]","[PlayToDevice.dll]",1,1,0.00,0.00,
"Caller","[msvcrt.dll]","[policymanager.dll]",2,2,0.00,0.00,
"Caller","[msvcrt.dll]","[StructuredQuery.dll]",3,3,0.01,0.01,
"Caller","[msvcrt.dll]","[tiptsf.dll]",1,1,0.00,0.00,
"Caller","[msvcrt.dll]","[Windows.StateRepositoryPS.dll]",2,2,0.00,0.00,
"Caller","[msvcrt.dll]","[winspool.drv]",1,1,0.00,0.00,
"Root","[netprofm.dll]","[netprofm.dll]",210,1,0.50,0.00,
"Caller","[netprofm.dll]","[combase.dll]",1,0,0.00,0.00,
"Caller","[netprofm.dll]","[netprofm.dll]",151,1,0.36,0.00,
"Caller","[netprofm.dll]","[PlayToDevice.dll]",81,0,0.19,0.00,
"Caller","[netprofm.dll]","[winspool.drv]",128,0,0.31,0.00,
"Callee","[netprofm.dll]","[combase.dll]",155,113,0.37,0.27,
"Callee","[netprofm.dll]","[kernel32.dll]",1,1,0.00,0.00,
"Callee","[netprofm.dll]","[KernelBase.dll]",16,16,0.04,0.04,
"Callee","[netprofm.dll]","[msvcrt.dll]",1,1,0.00,0.00,
"Callee","[netprofm.dll]","[netprofm.dll]",151,1,0.36,0.00,
"Callee","[netprofm.dll]","[ntdll.dll]",2,2,0.00,0.00,
"Callee","[netprofm.dll]","[rpcrt4.dll]",34,34,0.08,0.08,
"Root","[networkexplorer.dll]","[networkexplorer.dll]",1,0,0.00,0.00,
"Caller","[networkexplorer.dll]","[windows.storage.dll]",1,0,0.00,0.00,
"Callee","[networkexplorer.dll]","[windows.storage.dll]",1,1,0.00,0.00,
"Root","[npmproxy.dll]","[npmproxy.dll]",1,1,0.00,0.00,
"Caller","[npmproxy.dll]","[combase.dll]",1,1,0.00,0.00,
"Root","[nsi.dll]","[nsi.dll]",16,16,0.04,0.04,
"Caller","[nsi.dll]","[dhcpcsvc.dll]",16,16,0.04,0.04,
"Root","[ntdll.dll]","[ntdll.dll]",131,131,0.31,0.31,
"Caller","[ntdll.dll]","[atlthunk.dll]",1,1,0.00,0.00,
"Caller","[ntdll.dll]","[comdlg32.dll]",53,53,0.13,0.13,
"Caller","[ntdll.dll]","[dui70.dll]",26,26,0.06,0.06,
"Caller","[ntdll.dll]","[duser.dll]",40,40,0.10,0.10,
"Caller","[ntdll.dll]","[ExplorerFrame.dll]",11,11,0.03,0.03,
"Root","[ntdll.dll]","[ntdll.dll]","1,589",397,3.80,0.95,
"Caller","[ntdll.dll]","[apphelp.dll]",7,7,0.02,0.02,
"Caller","[ntdll.dll]","[audiodev.dll]",1,1,0.00,0.00,
"Caller","[ntdll.dll]","[clbcatq.dll]",13,13,0.03,0.03,
"Caller","[ntdll.dll]","[cldapi.dll]",1,1,0.00,0.00,
"Caller","[ntdll.dll]","[comdlg32.dll]",424,60,1.01,0.14,
"Caller","[ntdll.dll]","[DataExchange.dll]",4,3,0.01,0.01,
"Caller","[ntdll.dll]","[devobj.dll]",1,1,0.00,0.00,
"Caller","[ntdll.dll]","[dfshim.dll]",12,12,0.03,0.03,
"Caller","[ntdll.dll]","[dhcpcsvc.dll]",5,5,0.01,0.01,
"Caller","[ntdll.dll]","[dhcpcsvc6.dll]",3,3,0.01,0.01,
"Caller","[ntdll.dll]","[dlnashext.dll]",3,3,0.01,0.01,
"Caller","[ntdll.dll]","[DropboxExt.26.0.dll]",13,13,0.03,0.03,
"Caller","[ntdll.dll]","[dui70.dll]",690,77,1.65,0.18,
"Caller","[ntdll.dll]","[duser.dll]",219,89,0.52,0.21,
"Caller","[ntdll.dll]","[dxgi.dll]",1,1,0.00,0.00,
"Caller","[ntdll.dll]","[edputil.dll]",3,3,0.01,0.01,
"Caller","[ntdll.dll]","[ExplorerFrame.dll]",173,41,0.41,0.10,
"Caller","[ntdll.dll]","[mdnsNSP.dll]",2,2,0.00,0.00,
"Caller","[ntdll.dll]","[MMDevAPI.dll]",14,14,0.03,0.03,
"Caller","[ntdll.dll]","[mpr.dll]",1,0,0.00,0.00,
"Caller","[ntdll.dll]","[msftedit.dll]",2,2,0.00,0.00,
"Caller","[ntdll.dll]","[msi.dll]",3,3,0.01,0.01,
"Caller","[ntdll.dll]","[netprofm.dll]",2,2,0.00,0.00,
"Caller","[ntdll.dll]","[ntshrui.dll]",4,4,0.01,0.01,
"Caller","[ntdll.dll]","[PlayToDevice.dll]",1,1,0.00,0.00,
"Caller","[ntdll.dll]","[policymanager.dll]",1,1,0.00,0.00,
"Caller","[ntdll.dll]","[PortableDeviceApi.dll]",2,1,0.00,0.00,
"Caller","[ntdll.dll]","[safemon.dll]",3,3,0.01,0.01,
"Caller","[ntdll.dll]","[setupapi.dll]",3,3,0.01,0.01,
"Caller","[ntdll.dll]","[thumbcache.dll]",17,17,0.04,0.04,
"Caller","[ntdll.dll]","[tiptsf.dll]",1,1,0.00,0.00,
"Caller","[ntdll.dll]","[twinapi.appcore.dll]",1,1,0.00,0.00,
"Caller","[ntdll.dll]","[Windows.Globalization.dll]",2,2,0.00,0.00,
"Caller","[ntdll.dll]","[winspool.drv]",6,6,0.01,0.01,
"Caller","[ntdll.dll]","[WMVCORE.DLL]",1,1,0.00,0.00,
"Callee","[ntdll.dll]","[atlthunk.dll]",53,1,0.13,0.00,
"Callee","[ntdll.dll]","[comdlg32.dll]",470,1,1.12,0.00,
"Callee","[ntdll.dll]","[dui70.dll]",71,0,0.17,0.00,
"Callee","[ntdll.dll]","[duser.dll]",5,0,0.01,0.00,
"Callee","[ntdll.dll]","[ExplorerFrame.dll]",714,1,1.71,0.00,
"Callee","[ntdll.dll]","[mpr.dll]",1,1,0.00,0.00,
"Callee","[ntdll.dll]","[setupapi.dll]",1,0,0.00,0.00,
"Callee","[ntdll.dll]","[twinapi.appcore.dll]",1,0,0.00,0.00,
"Callee","[ntdll.dll]","[winspool.drv]",1,0,0.00,0.00,
"Root","[ntlanman.dll]","[ntlanman.dll]",9,0,0.02,0.00,
"Caller","[ntlanman.dll]","[mpr.dll]",9,0,0.02,0.00,
"Caller","[ntlanman.dll]","[ntlanman.dll]",1,0,0.00,0.00,
"Callee","[ntlanman.dll]","[ntlanman.dll]",1,0,0.00,0.00,
"Callee","[ntlanman.dll]","[ucrtbase.dll]",1,1,0.00,0.00,
"Callee","[ntlanman.dll]","[wkscli.dll]",8,8,0.02,0.02,
"Root","[ntshrui.dll]","[ntshrui.dll]",6,2,0.01,0.00,
"Caller","[ntshrui.dll]","[KernelBase.dll]",4,0,0.01,0.00,
"Caller","[ntshrui.dll]","[ntshrui.dll]",4,1,0.01,0.00,
"Caller","[ntshrui.dll]","[windows.storage.dll]",4,0,0.01,0.00,
"Callee","[ntshrui.dll]","[KernelBase.dll]",4,0,0.01,0.00,
"Callee","[ntshrui.dll]","[ntdll.dll]",4,4,0.01,0.01,
"Callee","[ntshrui.dll]","[ntshrui.dll]",4,1,0.01,0.00,
"Root","[ole32.dll]","[ole32.dll]",74,27,0.18,0.06,
"Caller","[ole32.dll]","[ExplorerFrame.dll]",74,27,0.18,0.06,
"Callee","[ole32.dll]","[clbcatq.dll]",29,0,0.07,0.00,
"Callee","[ole32.dll]","[DataExchange.dll]",16,0,0.04,0.00,
"Callee","[ole32.dll]","[dcomp.dll]",1,0,0.00,0.00,
"Callee","[ole32.dll]","[dxgi.dll]",1,0,0.00,0.00,
"Root","[oleacc.dll]","[oleacc.dll]",8,0,0.02,0.00,
"Caller","[oleacc.dll]","[combase.dll]",3,0,0.01,0.00,
"Caller","[oleacc.dll]","[comdlg32.dll]",4,0,0.01,0.00,
"Caller","[oleacc.dll]","[oleacc.dll]",8,0,0.02,0.00,
"Callee","[oleacc.dll]","[KernelBase.dll]",6,6,0.01,0.01,
"Callee","[oleacc.dll]","[oleacc.dll]",8,0,0.02,0.00,
"Callee","[oleacc.dll]","[user32.dll]",2,2,0.00,0.00,
"Root","[oleaut32.dll]","[oleaut32.dll]",1,1,0.00,0.00,
"Caller","[oleaut32.dll]","[thumbcache.dll]",1,1,0.00,0.00,
"Root","[OneCoreUAPCommonProxyStub.dll]","[OneCoreUAPCommonProxyStub.dll]",7,3,0.02,0.01,
"Caller","[OneCoreUAPCommonProxyStub.dll]","[OneCoreUAPCommonProxyStub.dll]",1,0,0.00,0.00,
"Caller","[OneCoreUAPCommonProxyStub.dll]","[windows.storage.dll]",1,0,0.00,0.00,
"Callee","[OneCoreUAPCommonProxyStub.dll]","[combase.dll]",1,1,0.00,0.00,
"Callee","[OneCoreUAPCommonProxyStub.dll]","[OneCoreUAPCommonProxyStub.dll]",1,0,0.00,0.00,
"Callee","[OneCoreUAPCommonProxyStub.dll]","[rpcrt4.dll]",3,3,0.01,0.01,
"Root","[PhotoMetadataHandler.dll]","[PhotoMetadataHandler.dll]",1,0,0.00,0.00,
"Caller","[PhotoMetadataHandler.dll]","[PhotoMetadataHandler.dll]",1,0,0.00,0.00,
"Callee","[PhotoMetadataHandler.dll]","[KernelBase.dll]",1,1,0.00,0.00,
"Callee","[PhotoMetadataHandler.dll]","[PhotoMetadataHandler.dll]",1,0,0.00,0.00,
"Root","[PlayToDevice.dll]","[PlayToDevice.dll]",966,9,2.31,0.02,
"Caller","[PlayToDevice.dll]","[dlnashext.dll]",461,0,1.10,0.00,
"Caller","[PlayToDevice.dll]","[PlayToDevice.dll]",960,8,2.30,0.02,
"Callee","[PlayToDevice.dll]","[cfgmgr32.dll]",499,499,1.19,1.19,
"Callee","[PlayToDevice.dll]","[combase.dll]",75,32,0.18,0.08,
"Callee","[PlayToDevice.dll]","[dlnashext.dll]",292,0,0.70,0.00,
"Callee","[PlayToDevice.dll]","[IPHLPAPI.DLL]",34,21,0.08,0.05,
"Callee","[PlayToDevice.dll]","[KernelBase.dll]",7,7,0.02,0.02,
"Callee","[PlayToDevice.dll]","[MMDevAPI.dll]",76,0,0.18,0.00,
"Callee","[PlayToDevice.dll]","[msvcrt.dll]",1,1,0.00,0.00,
"Callee","[PlayToDevice.dll]","[netprofm.dll]",81,0,0.19,0.00,
"Callee","[PlayToDevice.dll]","[ntdll.dll]",1,1,0.00,0.00,
"Callee","[PlayToDevice.dll]","[PlayToDevice.dll]",960,8,2.30,0.02,
"Root","[policymanager.dll]","[policymanager.dll]",89,2,0.21,0.00,
"Caller","[policymanager.dll]","[policymanager.dll]",89,2,0.21,0.00,
"Caller","[policymanager.dll]","[user32.dll]",40,0,0.10,0.00,
"Caller","[policymanager.dll]","[windows.storage.dll]",44,0,0.11,0.00,
"Callee","[policymanager.dll]","[KernelBase.dll]",84,84,0.20,0.20,
"Callee","[policymanager.dll]","[msvcrt.dll]",2,2,0.00,0.00,
"Callee","[policymanager.dll]","[ntdll.dll]",1,1,0.00,0.00,
"Callee","[policymanager.dll]","[policymanager.dll]",89,2,0.21,0.00,
"Root","[PortableDeviceApi.dll]","[PortableDeviceApi.dll]",8,0,0.02,0.00,
"Caller","[PortableDeviceApi.dll]","[combase.dll]",6,0,0.01,0.00,
"Caller","[PortableDeviceApi.dll]","[PortableDeviceApi.dll]",8,0,0.02,0.00,
"Caller","[PortableDeviceApi.dll]","[wpdshext.dll]",2,0,0.00,0.00,
"Callee","[PortableDeviceApi.dll]","[ntdll.dll]",2,1,0.00,0.00,
"Callee","[PortableDeviceApi.dll]","[PortableDeviceApi.dll]",8,0,0.02,0.00,
"Callee","[PortableDeviceApi.dll]","[setupapi.dll]",6,0,0.01,0.00,
"Root","[propsys.dll]","[propsys.dll]",175,141,0.42,0.34,
"Caller","[propsys.dll]","[comdlg32.dll]",2,2,0.00,0.00,
"Caller","[propsys.dll]","[dlnashext.dll]",7,7,0.02,0.02,
"Caller","[propsys.dll]","[ExplorerFrame.dll]",45,35,0.11,0.08,
"Caller","[propsys.dll]","[thumbcache.dll]",72,71,0.17,0.17,
"Caller","[propsys.dll]","[Windows.Storage.Search.dll]",3,3,0.01,0.01,
"Caller","[propsys.dll]","[winspool.drv]",46,23,0.11,0.06,
"Callee","[propsys.dll]","[clbcatq.dll]",33,0,0.08,0.00,
"Callee","[propsys.dll]","[edputil.dll]",1,0,0.00,0.00,
"Root","[provsvc.dll]","[provsvc.dll]",1,0,0.00,0.00,
"Caller","[provsvc.dll]","[thumbcache.dll]",1,0,0.00,0.00,
"Callee","[provsvc.dll]","[KernelBase.dll]",1,1,0.00,0.00,
