Type,Root Function Name,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Caller","[clr.dll]","FoodMazaPos.Stocks..ctor",23,23,0.06,0.06,
"Caller","[clr.dll]","FoodMazaPos.Stocks.Stocks_Load",3,3,0.01,0.01,
"Caller","[clr.dll]","FoodMazaPos.updatestocks..ctor",22,22,0.05,0.05,
"Caller","[clr.dll]","FoodMazaPos.updatestocks.updatestocks_Load",5,5,0.01,0.01,
"Root","[combase.dll]","[combase.dll]","1,253",580,3.00,1.39,
"Caller","[combase.dll]","[clbcatq.dll]",28,28,0.07,0.07,
"Caller","[combase.dll]","[comdlg32.dll]",408,144,0.98,0.34,
"Caller","[combase.dll]","[DevDispItemProvider.dll]",5,5,0.01,0.01,
"Caller","[combase.dll]","[dlnashext.dll]",9,9,0.02,0.02,
"Caller","[combase.dll]","[DropboxExt.26.0.dll]",44,22,0.11,0.05,
"Caller","[combase.dll]","[ExplorerFrame.dll]",166,73,0.40,0.17,
"Caller","[combase.dll]","[MMDevAPI.dll]",1,1,0.00,0.00,
"Caller","[combase.dll]","[msftedit.dll]",120,44,0.29,0.11,
"Caller","[combase.dll]","[netprofm.dll]",155,113,0.37,0.27,
"Caller","[combase.dll]","[OneCoreUAPCommonProxyStub.dll]",1,1,0.00,0.00,
"Caller","[combase.dll]","[PlayToDevice.dll]",75,32,0.18,0.08,
"Caller","[combase.dll]","[StructuredQuery.dll]",3,3,0.01,0.01,
"Caller","[combase.dll]","[thumbcache.dll]",111,55,0.27,0.13,
"Caller","[combase.dll]","[twinapi.appcore.dll]",6,5,0.01,0.01,
"Caller","[combase.dll]","[winspool.drv]",86,27,0.21,0.06,
"Caller","[combase.dll]","[wpdshext.dll]",44,17,0.11,0.04,
"Caller","[combase.dll]","[xmllite.dll]",1,1,0.00,0.00,
"Callee","[combase.dll]","[clbcatq.dll]",646,0,1.55,0.00,
"Callee","[combase.dll]","[comdlg32.dll]",18,0,0.04,0.00,
"Callee","[combase.dll]","[ExplorerFrame.dll]",2,0,0.00,0.00,
"Callee","[combase.dll]","[MMDevAPI.dll]",1,0,0.00,0.00,
"Callee","[combase.dll]","[netprofm.dll]",1,0,0.00,0.00,
"Callee","[combase.dll]","[npmproxy.dll]",1,1,0.00,0.00,
"Callee","[combase.dll]","[oleacc.dll]",3,0,0.01,0.00,
"Callee","[combase.dll]","[PortableDeviceApi.dll]",6,0,0.01,0.00,
"Callee","[combase.dll]","[safemon.dll]",1,0,0.00,0.00,
"Callee","[combase.dll]","[tiptsf.dll]",1,0,0.00,0.00,
"Callee","[combase.dll]","[twinapi.appcore.dll]",1,1,0.00,0.00,
"Callee","[combase.dll]","[twinapi.dll]",1,1,0.00,0.00,
"Callee","[combase.dll]","[Windows.Globalization.dll]",1,1,0.00,0.00,
"Root","[comctl32.dll]","[comctl32.dll]","3,380",955,8.08,2.28,
"Caller","[comctl32.dll]","[comdlg32.dll]",80,56,0.19,0.13,
"Caller","[comctl32.dll]","[dui70.dll]",6,6,0.01,0.01,
"Caller","[comctl32.dll]","[ExplorerFrame.dll]","3,294",893,7.88,2.14,
"Callee","[comctl32.dll]","[atlthunk.dll]",682,0,1.63,0.00,
