Function Name,Exclusive Samples,Exclusive Samples %,Instruction Address,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"[KernelBase.dll]",67,0.16,0x75E25668,0,0,0,0,
"FoodMazaPos.updatestocks.LoadGridView1",61,0.15,0x0CD5C96C,41,13,41,34,
"[clbcatq.dll]",60,0.14,0x7660DCE9,0,0,0,0,
"[ExplorerFrame.dll]",60,0.14,0x60340987,0,0,0,0,
"[win32u.dll]",57,0.14,0x765938FC,0,0,0,0,
"[KernelBase.dll]",54,0.13,0x75E20C80,0,0,0,0,
"[KernelBase.dll]",54,0.13,0x75E2103F,0,0,0,0,
"FoodMazaPos.Cashier.cLOCKOUTLOGOUTToolStripMenuItem_Click",54,0.13,0x0CD5D07B,"1,679",13,"1,679",26,
"[KernelBase.dll]",53,0.13,0x75E208E8,0,0,0,0,
"[System.Data.ni.dll]",53,0.13,0x64F52DD8,0,0,0,0,
"[ExplorerFrame.dll]",52,0.12,0x60367370,0,0,0,0,
"[windows.storage.dll]",51,0.12,0x751B8B84,0,0,0,0,
"[windows.storage.dll]",51,0.12,0x752CDB79,0,0,0,0,
"[KernelBase.dll]",50,0.12,0x75E126A2,0,0,0,0,
"[windows.storage.dll]",50,0.12,0x751D163A,0,0,0,0,
"[KernelBase.dll]",49,0.12,0x75E2C0D5,0,0,0,0,
"[shell32.dll]",49,0.12,0x76929910,0,0,0,0,
"[windows.storage.dll]",47,0.11,0x75263CE2,0,0,0,0,
"FoodMazaPos.ExportToExcel.ExportToExcel_Load",47,0.11,0x09E69C22,29,13,29,29,
"[ntdll.dll]",46,0.11,0x778F1F3E,0,0,0,0,
"[windows.storage.dll]",45,0.11,0x751D162B,0,0,0,0,
"[KernelBase.dll]",44,0.11,0x75E2D5DD,0,0,0,0,
"[shell32.dll]",44,0.11,0x7691D03A,0,0,0,0,
"[windows.storage.dll]",44,0.11,0x7523500F,0,0,0,0,
"[windows.storage.dll]",44,0.11,0x752A3A89,0,0,0,0,
"[dfdll.dll]",43,0.10,0x5E63B463,0,0,0,0,
"[windows.storage.dll]",43,0.10,0x7523546B,0,0,0,0,
"[duser.dll]",42,0.10,0x5EDC8573,0,0,0,0,
"[uxtheme.dll]",40,0.10,0x71323CB5,0,0,0,0,
"[windows.storage.dll]",40,0.10,0x7521C629,0,0,0,0,
"[System.Data.ni.dll]",39,0.09,0x6501D9FD,0,0,0,0,
"[windows.storage.dll]",39,0.09,0x752711F1,0,0,0,0,
"FoodMazaPos.InvoiceDetails.InvoiceDetails_Load",39,0.09,0x0CD55DDC,25,13,25,28,
"[windows.storage.dll]",38,0.09,0x75265C90,0,0,0,0,
"[clbcatq.dll]",37,0.09,0x76614507,0,0,0,0,
"[duser.dll]",37,0.09,0x5EDCE99C,0,0,0,0,
"FoodMazaPos.Cashier.aBOUTToolStripMenuItem_Click",37,0.09,0x09FD5DD2,"1,737",13,"1,737",26,
