Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"FoodMazaPos.Cashier.CheckingUserStatus",2,0,0.00,0.00,
"FoodMazaPos.Cashier.CheckInternetavaibility",2,0,0.00,0.00,
"FoodMazaPos.Cashier.cLOCKOUTLOGOUTToolStripMenuItem_Click",118,0,0.28,0.00,
"FoodMazaPos.Cashier.Dgv_1",19,0,0.05,0.00,
"FoodMazaPos.Cashier.dgv1_CellEndEdit",8,0,0.02,0.00,
"FoodMazaPos.Cashier.Dispose",139,0,0.33,0.00,
"FoodMazaPos.Cashier.eXPORTTOEXCELToolStripMenuItem_Click",711,0,1.70,0.00,
"FoodMazaPos.Cashier.InitializeComponent",79,0,0.19,0.00,
"FoodMazaPos.Cashier.label3Click",167,0,0.40,0.00,
"FoodMazaPos.Cashier.labelClick",49,0,0.12,0.00,
"FoodMazaPos.Cashier.Loadcategory",189,0,0.45,0.00,
"FoodMazaPos.Cashier.Loadproducts",316,0,0.76,0.00,
"FoodMazaPos.Cashier.sALESSUMMARYToolStripMenuItem_Click",319,0,0.76,0.00,
"FoodMazaPos.Cashier.sEARCHINVOICESToolStripMenuItem_Click",602,0,1.44,0.00,
"FoodMazaPos.Cashier.TrailPeriod",1,0,0.00,0.00,
"FoodMazaPos.ExportToExcel..ctor",84,0,0.20,0.00,
"FoodMazaPos.ExportToExcel.dgv_1",3,0,0.01,0.00,
"FoodMazaPos.ExportToExcel.dgv_5",1,0,0.00,0.00,
"FoodMazaPos.ExportToExcel.Dispose",9,0,0.02,0.00,
"FoodMazaPos.ExportToExcel.ExportToExcel_Load",503,0,1.20,0.00,
"FoodMazaPos.ExportToExcel.InitializeComponent",10,0,0.02,0.00,
"FoodMazaPos.ExportToExcel.LoadGridView1",420,0,1.00,0.00,
"FoodMazaPos.ExportToExcel.LoadGridView2",2,0,0.00,0.00,
"FoodMazaPos.ExportToExcel.LoadGridView3",3,0,0.01,0.00,
"FoodMazaPos.ExportToExcel.LoadGridView4",3,0,0.01,0.00,
"FoodMazaPos.ExportToExcel.LoadGridView5",1,0,0.00,0.00,
"FoodMazaPos.ExportToExcel.LoadGridView6",3,0,0.01,0.00,
"FoodMazaPos.ExportToExcel.LoadGridView7",1,0,0.00,0.00,
"FoodMazaPos.Inventory..ctor",720,0,1.72,0.00,
"FoodMazaPos.Inventory.Dispose",73,0,0.17,0.00,
"FoodMazaPos.Inventory.EstimatingSTockAtTheStartOfDay",17,0,0.04,0.00,
"FoodMazaPos.Inventory.FoucsTextBoxes",1,0,0.00,0.00,
"FoodMazaPos.Inventory.InitializeComponent",156,0,0.37,0.00,
"FoodMazaPos.Inventory.Inventory_Load",85,0,0.20,0.00,
"FoodMazaPos.Inventory.InventoryHeaderInfo",107,0,0.26,0.00,
"FoodMazaPos.Inventory.label_Category_Click",210,0,0.50,0.00,
"FoodMazaPos.Inventory.label_Category_MouseLeave",1,0,0.00,0.00,
"FoodMazaPos.Inventory.label_Dashboard_Click",93,0,0.22,0.00,
"FoodMazaPos.Inventory.label_Dashboard_MouseLeave",1,0,0.00,0.00,
"FoodMazaPos.Inventory.label_Product_Click",222,0,0.53,0.00,
"FoodMazaPos.Inventory.label_Product_MouseEnter",1,0,0.00,0.00,
"FoodMazaPos.Inventory.label_Report_Click",163,0,0.39,0.00,
"FoodMazaPos.Inventory.label_Stock_Click",277,0,0.66,0.00,
"FoodMazaPos.Inventory.label_Stock_MouseLeave",1,0,0.00,0.00,
"FoodMazaPos.Inventory.LoadChart3",5,0,0.01,0.00,
"FoodMazaPos.Inventory.LoadChart4",6,0,0.01,0.00,
"FoodMazaPos.Inventory.LoadChart5",5,0,0.01,0.00,
"FoodMazaPos.Inventory.LoadGridView2",3,0,0.01,0.00,
"FoodMazaPos.Inventory.LoadGridView3",8,0,0.02,0.00,
"FoodMazaPos.Inventory.LoadGridView4",6,0,0.01,0.00,
"FoodMazaPos.InvoiceDetails..ctor",17,0,0.04,0.00,
"FoodMazaPos.InvoiceDetails.calculate",12,0,0.03,0.00,
"FoodMazaPos.InvoiceDetails.dgv_1",12,0,0.03,0.00,
"FoodMazaPos.InvoiceDetails.Dispose",8,0,0.02,0.00,
"FoodMazaPos.InvoiceDetails.InitializeComponent",5,0,0.01,0.00,
"FoodMazaPos.InvoiceDetails.InvoiceDetails_Load",507,0,1.21,0.00,
"FoodMazaPos.InvoiceDetails.LoadGridView",435,0,1.04,0.00,
"FoodMazaPos.InvoiceDetails.SearchInvoice_Click",123,0,0.29,0.00,
"FoodMazaPos.Login..ctor",57,0,0.14,0.00,
"FoodMazaPos.Login.btnLogin_Click",936,0,2.24,0.00,
"FoodMazaPos.Login.InitializeComponent",2,0,0.00,0.00,
"FoodMazaPos.Program.Main","35,334",0,84.52,0.00,
"FoodMazaPos.SalesSummary..ctor",37,0,0.09,0.00,
"FoodMazaPos.SalesSummary.Dispose",15,0,0.04,0.00,
"FoodMazaPos.SalesSummary.InitializeComponent",17,0,0.04,0.00,
"FoodMazaPos.SalesSummary.Loadproducts",71,0,0.17,0.00,
"FoodMazaPos.SalesSummary.SalesSummary_Load",208,0,0.50,0.00,
"FoodMazaPos.Stocks..ctor",156,0,0.37,0.00,
"FoodMazaPos.Stocks.btnUpdate_Click",400,0,0.96,0.00,
"FoodMazaPos.Stocks.dgv_1",4,0,0.01,0.00,
"FoodMazaPos.Stocks.Dispose",17,0,0.04,0.00,
"FoodMazaPos.Stocks.InitializeComponent",14,0,0.03,0.00,
"FoodMazaPos.Stocks.LoadGridView1",381,0,0.91,0.00,
"FoodMazaPos.Stocks.Stocks_Load",218,0,0.52,0.00,
"FoodMazaPos.updatestocks..ctor",110,0,0.26,0.00,
"FoodMazaPos.updatestocks.dgv_1",21,0,0.05,0.00,
"FoodMazaPos.updatestocks.Dispose",14,0,0.03,0.00,
"FoodMazaPos.updatestocks.InitializeComponent",7,0,0.02,0.00,
"FoodMazaPos.updatestocks.LoadGridView1",84,0,0.20,0.00,
"FoodMazaPos.updatestocks.ToFillGridview",39,0,0.09,0.00,
"FoodMazaPos.updatestocks.updatestocks_Load",149,0,0.36,0.00,
